"CONSUMPTION_NUM","MEMBER_ID","CONS_DATE","CONS_ELECTRICITY"
0,test_ath,202103,208
1,test_ath,202104,188
2,test_ath,202105,191
3,test_ath,202106,214
4,test_ath,202107,328
5,test_ath,202108,289
6,test_ath,202109,257
7,test_ath,202110,244
8,test_ath,202111,232
9,test_ath,202112,255
10,test_ath,202201,268
11,test_ath,202202,230
12,test_ath,202203,248
13,test_ath,202204,224
14,test_ath,202205,246
15,test_ath,202206,257
16,test_ath,202207,318
17,test_ath,202208,322
18,test_ath,202209,247
19,test_ath,202210,228
20,test_ath,202211,246
21,test_ath,202212,289
22,test_ath,202301,279
23,test_ath,202302,250
24,test_ath,202303,263
25,test_ath,202304,251
26,test_ath,202305,261
27,test_ath,202306,285
28,test_ath,202307,363
29,test_ath,202308,348
30,test_ath,202309,265
31,test_ath,202310,238
32,test_ath,202311,251
33,test_ath,202312,255
34,test_ath,202401,267
35,test_ath,202402,250
36,test_ath,202403,242
37,test_nje,202103,950
38,test_nje,202104,666
39,test_nje,202105,755
40,test_nje,202106,929
41,test_nje,202107,919
42,test_nje,202108,606
43,test_nje,202109,749
44,test_nje,202110,645
45,test_nje,202111,643
46,test_nje,202112,837
47,test_nje,202201,855
48,test_nje,202202,862
49,test_nje,202203,644
50,test_nje,202204,914
51,test_nje,202205,728
52,test_nje,202206,830
53,test_nje,202207,875
54,test_nje,202208,928
55,test_nje,202209,779
56,test_nje,202210,829
57,test_nje,202211,662
58,test_nje,202212,698
59,test_nje,202301,695
60,test_nje,202302,651
61,test_nje,202303,661
62,test_nje,202304,733
63,test_nje,202305,864
64,test_nje,202306,970
65,test_nje,202307,967
66,test_nje,202308,963
67,test_nje,202309,780
68,test_nje,202310,817
69,test_nje,202311,966
70,test_nje,202312,635
71,test_nje,202401,926
72,test_nje,202402,917
73,test_nje,202403,982
74,test_jdg,202103,688
75,test_jdg,202104,415
76,test_jdg,202105,610
77,test_jdg,202106,623
78,test_jdg,202107,557
79,test_jdg,202108,676
80,test_jdg,202109,566
81,test_jdg,202110,537
82,test_jdg,202111,590
83,test_jdg,202112,558
84,test_jdg,202201,604
85,test_jdg,202202,509
86,test_jdg,202203,736
87,test_jdg,202204,421
88,test_jdg,202205,724
89,test_jdg,202206,425
90,test_jdg,202207,497
91,test_jdg,202208,498
92,test_jdg,202209,524
93,test_jdg,202210,591
94,test_jdg,202211,583
95,test_jdg,202212,537
96,test_jdg,202301,645
97,test_jdg,202302,515
98,test_jdg,202303,597
99,test_jdg,202304,566
100,test_jdg,202305,664
101,test_jdg,202306,724
102,test_jdg,202307,458
103,test_jdg,202308,524
104,test_jdg,202309,578
105,test_jdg,202310,530
106,test_jdg,202311,498
107,test_jdg,202312,410
108,test_jdg,202401,687
109,test_jdg,202402,554
110,test_jdg,202403,509
