"PRODUCTION_NUM","MEMBER_ID","PROD_DATE","PROD_ELECTRICITY","PROD_DATE_MONTH"
0,test_ath,"2023-04-04",340,4
1,test_ath,"2023-05-04",377,5
2,test_ath,"2023-06-04",475,6
3,test_ath,"2023-07-04",602,7
4,test_ath,"2023-08-04",671,8
5,test_ath,"2023-09-04",432,9
6,test_ath,"2023-10-04",230,10
7,test_ath,"2023-11-04",211,11
8,test_ath,"2023-12-04",121,12
9,test_ath,"2024-01-04",117,1
10,test_ath,"2024-02-04",165,2
11,test_ath,"2024-03-04",311,3
12,test_nje,"2023-04-04",421,4
13,test_nje,"2023-05-04",544,5
14,test_nje,"2023-06-04",750,6
15,test_nje,"2023-07-04",845,7
16,test_nje,"2023-08-04",714,8
17,test_nje,"2023-09-04",410,9
18,test_nje,"2023-10-04",304,10
19,test_nje,"2023-11-04",244,11
20,test_nje,"2023-12-04",245,12
21,test_nje,"2024-01-04",145,1
22,test_nje,"2024-02-04",247,2
23,test_nje,"2024-03-04",417,3
