"STN","STN_NAME","LATITUDE","LONGITUDE"
93,북춘천,37.9474,127.7544
95,철원,38.1479,127.3042
98,동두천,37.9019,127.0607
99,파주,37.8859,126.7665
100,대관령,37.6771,128.7183
101,춘천,37.9026,127.7357
102,백령도,37.974,124.7124
104,북강릉,37.8046,128.8554
105,강릉,37.7515,128.891
108,서울,37.5714,126.9658
112,인천,37.4777,126.6249
114,원주,37.3375,127.9466
115,울릉도,37.4813,130.8986
119,수원,37.2575,126.983
127,충주,36.9705,127.9525
129,서산,36.7766,126.4939
131,청주,36.6392,127.4407
133,대전,36.372,127.3721
135,추풍령,36.2203,127.9946
136,안동,36.5729,128.7073
137,상주,36.4084,128.1574
138,포항,36.032,129.38
143,대구,35.878,128.653
146,전주,35.8409,127.1172
152,울산,35.5824,129.3347
155,창원,35.1702,128.5728
156,광주,35.1729,126.8916
159,부산,35.1047,129.032
162,통영,34.8454,128.4356
165,목포,34.8173,126.3815
168,여수,34.7393,127.7406
169,흑산도,34.6872,125.4511
170,완도,34.3959,126.7018
172,고창,35.3482,126.599
177,홍성,36.6576,126.6877
181,서청주,36.64,127.3847
184,제주,33.5141,126.5297
185,고산,33.2938,126.1628
192,진주,35.1638,128.04
235,보령,36.3272,126.5574
239,세종,36.4852,127.2444
245,정읍,35.5634,126.839
251,고창군,35.4266,126.697
252,영광군,35.2837,126.4778
253,김해시,35.2298,128.8908
254,순창군,35.3713,127.1286
255,북창원,35.2266,128.6726
257,양산시,35.3074,129.0201
258,보성군,34.7634,127.2123
259,강진군,34.6446,126.7841
262,고흥,34.6183,127.2757
263,의령군,35.3226,128.2881
264,함양군,35.5114,127.7454
266,광양시,34.9434,127.6914
276,청송군,36.4351,129.0401
283,경주시,35.8174,129.2009
296,북부산,35.2178,128.9602
93,북춘천,37.9474,127.7544
95,철원,38.1479,127.3042
98,동두천,37.9019,127.0607
99,파주,37.8859,126.7665
100,대관령,37.6771,128.7183
101,춘천,37.9026,127.7357
102,백령도,37.974,124.7124
104,북강릉,37.8046,128.8554
105,강릉,37.7515,128.891
108,서울,37.5714,126.9658
112,인천,37.4777,126.6249
114,원주,37.3375,127.9466
115,울릉도,37.4813,130.8986
119,수원,37.2575,126.983
127,충주,36.9705,127.9525
129,서산,36.7766,126.4939
131,청주,36.6392,127.4407
133,대전,36.372,127.3721
135,추풍령,36.2203,127.9946
136,안동,36.5729,128.7073
137,상주,36.4084,128.1574
138,포항,36.032,129.38
143,대구,35.878,128.653
146,전주,35.8409,127.1172
152,울산,35.5824,129.3347
155,창원,35.1702,128.5728
156,광주,35.1729,126.8916
159,부산,35.1047,129.032
162,통영,34.8454,128.4356
165,목포,34.8173,126.3815
168,여수,34.7393,127.7406
169,흑산도,34.6872,125.4511
170,완도,34.3959,126.7018
172,고창,35.3482,126.599
177,홍성,36.6576,126.6877
181,서청주,36.64,127.3847
184,제주,33.5141,126.5297
185,고산,33.2938,126.1628
192,진주,35.1638,128.04
235,보령,36.3272,126.5574
239,세종,36.4852,127.2444
245,정읍,35.5634,126.839
251,고창군,35.4266,126.697
252,영광군,35.2837,126.4778
253,김해시,35.2298,128.8908
254,순창군,35.3713,127.1286
255,북창원,35.2266,128.6726
257,양산시,35.3074,129.0201
258,보성군,34.7634,127.2123
259,강진군,34.6446,126.7841
262,고흥,34.6183,127.2757
263,의령군,35.3226,128.2881
264,함양군,35.5114,127.7454
266,광양시,34.9434,127.6914
276,청송군,36.4351,129.0401
283,경주시,35.8174,129.2009
296,북부산,35.2178,128.9602
